,strategy,sample,noise,filter_size,mse
0,marginal,0,0.01,3,13.627130681818182
1,lexicographical,0,0.01,3,15.626550281036168
2,bitmix,0,0.01,3,14.759467787756599
3,norm_based,0,0.01,3,14.767662130376344
4,marginal,1,0.01,3,18.11265152219742
5,lexicographical,1,0.01,3,21.590692429315474
6,bitmix,1,0.01,3,21.114046611483136
7,norm_based,1,0.01,3,20.805338541666668
8,marginal,2,0.01,3,7.01458829728739
9,lexicographical,2,0.01,3,10.357400873655914
10,bitmix,2,0.01,3,8.243157380254154
11,norm_based,2,0.01,3,7.92585570931085
12,marginal,3,0.01,3,22.910312347709553
13,lexicographical,3,0.01,3,26.607926337110136
14,bitmix,3,0.01,3,25.502303393031188
15,norm_based,3,0.01,3,25.225768686038013
16,marginal,4,0.01,3,9.530037954343971
17,lexicographical,4,0.01,3,11.92499399748818
18,bitmix,4,0.01,3,10.2815247303487
19,norm_based,4,0.01,3,10.1528932106974
20,marginal,5,0.01,3,7.207220262096774
21,lexicographical,5,0.01,3,12.3876179893695
22,bitmix,5,0.01,3,8.667980205278592
23,norm_based,5,0.01,3,8.398015563905181
24,marginal,6,0.01,3,8.05783420138889
25,lexicographical,6,0.01,3,10.135624106413399
26,bitmix,6,0.01,3,9.091270297181373
27,norm_based,6,0.01,3,8.914306640625
28,marginal,7,0.01,3,13.69620592948718
29,lexicographical,7,0.01,3,16.024993990384615
30,bitmix,7,0.01,3,14.74878405448718
31,norm_based,7,0.01,3,14.67046875
32,marginal,8,0.01,3,28.605730312194527
33,lexicographical,8,0.01,3,32.053272773093845
34,bitmix,8,0.01,3,30.982880086143695
35,norm_based,8,0.01,3,30.762566440615835
36,marginal,9,0.01,3,9.104829915364583
37,lexicographical,9,0.01,3,14.475657145182291
38,bitmix,9,0.01,3,12.178293863932291
39,norm_based,9,0.01,3,11.417036946614584
40,marginal,0,0.01,7,21.704602730938415
41,lexicographical,0,0.01,7,23.868756873167154
42,bitmix,0,0.01,7,23.081664681085044
43,norm_based,0,0.01,7,22.972933085899317
44,marginal,1,0.01,7,31.320608956473215
45,lexicographical,1,0.01,7,35.340018136160715
46,bitmix,1,0.01,7,34.41357034350198
47,norm_based,1,0.01,7,33.926414853050595
48,marginal,2,0.01,7,11.409663673020528
49,lexicographical,2,0.01,7,16.175576964198434
50,bitmix,2,0.01,7,13.572844116568914
51,norm_based,2,0.01,7,12.925414681085044
52,marginal,3,0.01,7,40.568473592836256
53,lexicographical,3,0.01,7,44.24969922636452
54,bitmix,3,0.01,7,43.44509358248051
55,norm_based,3,0.01,7,43.05953414351852
56,marginal,4,0.01,7,14.75165069075059
57,lexicographical,4,0.01,7,17.555687149083923
58,bitmix,4,0.01,7,16.06218602245863
59,norm_based,4,0.01,7,15.847109097960994
60,marginal,5,0.01,7,14.087310224217987
61,lexicographical,5,0.01,7,21.03932024376833
62,bitmix,5,0.01,7,16.376857664345064
63,norm_based,5,0.01,7,15.947618829423265
64,marginal,6,0.01,7,13.116044985702615
65,lexicographical,6,0.01,7,15.297968047896243
66,bitmix,6,0.01,7,14.231027241625817
67,norm_based,6,0.01,7,14.057977813521243
68,marginal,7,0.01,7,20.99733173076923
69,lexicographical,7,0.01,7,23.825302483974358
70,bitmix,7,0.01,7,22.203525641025642
71,norm_based,7,0.01,7,22.046640625
72,marginal,8,0.01,7,43.33857794171554
73,lexicographical,8,0.01,7,46.38061117729716
74,bitmix,8,0.01,7,45.49942914528348
75,norm_based,8,0.01,7,45.340139678030305
76,marginal,9,0.01,7,22.323476155598957
77,lexicographical,9,0.01,7,29.44944864908854
78,bitmix,9,0.01,7,27.134318033854168
79,norm_based,9,0.01,7,25.77642822265625
80,marginal,0,0.01,15,27.391913718841643
81,lexicographical,0,0.01,15,29.603347614247312
82,bitmix,0,0.01,15,29.08159594941349
83,norm_based,0,0.01,15,28.880559628543498
84,marginal,1,0.01,15,38.79181586371528
85,lexicographical,1,0.01,15,43.29835146949405
86,bitmix,1,0.01,15,42.56883215525794
87,norm_based,1,0.01,15,42.42478337363591
88,marginal,2,0.01,15,16.04870402614858
89,lexicographical,2,0.01,15,22.09894878726784
90,bitmix,2,0.01,15,19.193233366935484
91,norm_based,2,0.01,15,18.059575085532746
92,marginal,3,0.01,15,56.18994997258772
93,lexicographical,3,0.01,15,59.300425271076996
94,bitmix,3,0.01,15,59.690431591130604
95,norm_based,3,0.01,15,59.175623248659846
96,marginal,4,0.01,15,19.528599660165483
97,lexicographical,4,0.01,15,23.230323304521278
98,bitmix,4,0.01,15,21.588075317671393
99,norm_based,4,0.01,15,21.403788970153663
100,marginal,5,0.01,15,21.850478066959923
101,lexicographical,5,0.01,15,30.02786687438905
102,bitmix,5,0.01,15,25.24785213526393
103,norm_based,5,0.01,15,24.563830721529815
104,marginal,6,0.01,15,16.419047436683005
105,lexicographical,6,0.01,15,19.035014233558005
106,bitmix,6,0.01,15,17.826222937091504
107,norm_based,6,0.01,15,17.522389131433822
108,marginal,7,0.01,15,25.89535857371795
109,lexicographical,7,0.01,15,29.114559294871796
110,bitmix,7,0.01,15,27.113211137820514
111,norm_based,7,0.01,15,26.998241185897434
112,marginal,8,0.01,15,52.1276958088954
113,lexicographical,8,0.01,15,54.91861215481427
114,bitmix,8,0.01,15,54.06480823863637
115,norm_based,8,0.01,15,53.726058467741936
116,marginal,9,0.01,15,35.76646118164062
117,lexicographical,9,0.01,15,43.263999430338544
118,bitmix,9,0.01,15,42.191304524739586
119,norm_based,9,0.01,15,40.762263997395834
